customer_id,segment,industry,plan,mrr,clv,usage_score,nps_score,support_tickets,churn_probability,risk_category
CUST_001163,Small Business,Retail,Enterprise,999,5863.42,42,37,1,1.0,Very High Risk
CUST_004829,Small Business,Technology,Professional,149,1061.13,40,41,2,1.0,Very High Risk
CUST_003135,Startup,Other,Professional,149,1354.55,44,13,3,1.0,Very High Risk
CUST_002061,Small Business,Healthcare,Basic,49,301.62,43,45,2,0.9997752808988765,Very High Risk
CUST_002416,Mid-Market,Healthcare,Professional,149,1057.94,43,34,4,0.9997058823529411,Very High Risk
CUST_002148,Small Business,Manufacturing,Basic,49,794.79,44,40,3,0.9996062992125984,Very High Risk
CUST_004611,Small Business,Retail,Business,399,2330.25,42,30,4,0.999563025210084,Very High Risk
CUST_004026,Small Business,Technology,Basic,49,937.29,40,66,2,0.9993272322853878,Very High Risk
CUST_000680,Small Business,Real Estate,Basic,49,1180.03,41,83,3,0.9992418709789601,Very High Risk
CUST_002484,Startup,Technology,Basic,49,1056.7,40,53,2,0.9991036491221722,Very High Risk
CUST_002021,Small Business,Technology,Basic,49,1012.85,41,69,3,0.9991036491221722,Very High Risk
CUST_000414,Small Business,Manufacturing,Basic,49,878.15,47,47,4,0.9990608446671438,Very High Risk
CUST_000550,Small Business,Retail,Professional,149,1419.67,43,-14,1,0.9990604026845638,Very High Risk
CUST_000323,Mid-Market,Retail,Basic,49,701.86,42,-27,2,0.9988055839291793,Very High Risk
CUST_001206,Mid-Market,Manufacturing,Basic,49,979.31,40,8,4,0.9987642961608575,Very High Risk
CUST_004319,Small Business,Technology,Basic,49,353.08,63,87,0,0.9985943008225617,Very High Risk
CUST_003201,Small Business,Real Estate,Professional,149,1822.12,42,-33,3,0.9985643939393938,Very High Risk
CUST_002185,Small Business,Healthcare,Basic,49,996.24,72,-15,3,0.9985151108611511,Very High Risk
CUST_001047,Mid-Market,Technology,Basic,49,910.2,50,55,4,0.998445652173913,Very High Risk
CUST_004125,Startup,Real Estate,Professional,149,3319.82,41,5,3,0.9983022736635239,Very High Risk
CUST_000276,Small Business,Technology,Business,399,5177.83,44,75,3,0.9982589285714286,Very High Risk
CUST_001454,Small Business,Other,Basic,49,787.8,66,41,2,0.9982133870400253,Very High Risk
CUST_000665,Startup,Technology,Professional,149,1138.93,43,9,0,0.9981818181818182,Very High Risk
CUST_002609,Small Business,Manufacturing,Basic,49,962.58,67,-15,3,0.9981115879828326,Very High Risk
CUST_001768,Small Business,Healthcare,Basic,49,986.49,81,2,2,0.9980946589627118,Very High Risk
CUST_001825,Startup,Education,Business,399,3527.04,43,-23,0,0.998038961038961,Very High Risk
CUST_002008,Startup,Real Estate,Professional,149,1946.43,44,-13,2,0.998018736017897,Very High Risk
CUST_002455,Small Business,Healthcare,Basic,49,496.19,52,67,3,0.9978031693077566,Very High Risk
CUST_004599,Small Business,Healthcare,Enterprise,999,14779.81,70,-14,3,0.9977824712643678,Very High Risk
CUST_001659,Small Business,Technology,Basic,49,587.54,61,82,3,0.9977488214816695,Very High Risk
CUST_003743,Small Business,Healthcare,Enterprise,999,14084.91,42,17,0,0.9977083333333333,Very High Risk
CUST_002831,Startup,Healthcare,Business,399,1657.08,38,-3,3,0.9976328983658673,Very High Risk
CUST_000950,Small Business,Technology,Basic,49,939.84,58,16,1,0.9975730754752494,Very High Risk
CUST_003654,Mid-Market,Retail,Basic,49,841.49,51,2,2,0.997560844667144,Very High Risk
CUST_004298,Mid-Market,Other,Enterprise,999,4906.06,42,-1,0,0.9974583333333332,Very High Risk
CUST_003707,Small Business,Manufacturing,Enterprise,999,16936.17,43,26,3,0.9974193548387096,Very High Risk
CUST_003297,Small Business,Finance,Business,399,6757.03,43,58,4,0.9972748852666561,Very High Risk
CUST_000178,Small Business,Real Estate,Professional,149,736.3299999999999,61,46,2,0.9972446236559139,Very High Risk
CUST_003275,Small Business,Manufacturing,Professional,149,809.79,47,12,3,0.9972446236559139,Very High Risk
CUST_004095,Small Business,Technology,Professional,149,579.9,66,39,2,0.9972446236559139,Very High Risk
CUST_001269,Small Business,Manufacturing,Professional,149,1707.44,46,62,2,0.9972446236559139,Very High Risk
CUST_004027,Small Business,Retail,Basic,49,705.72,42,23,4,0.9971910112359551,Very High Risk
CUST_004966,Startup,Technology,Basic,49,354.72,45,29,2,0.997190275829827,Very High Risk
CUST_003574,Mid-Market,Finance,Basic,49,390.7,53,11,1,0.9971212121212123,Very High Risk
CUST_003947,Small Business,Technology,Business,399,4434.12,47,43,4,0.996950506008855,Very High Risk
CUST_000638,Small Business,Retail,Professional,149,1195.06,66,68,4,0.996950506008855,Very High Risk
CUST_000604,Mid-Market,Technology,Basic,49,933.38,62,63,3,0.9968892128904396,Very High Risk
CUST_002321,Small Business,Finance,Enterprise,999,11556.66,47,39,2,0.996844623655914,Very High Risk
CUST_001064,Small Business,Real Estate,Business,399,2768.67,50,12,4,0.9968076488659979,Very High Risk
CUST_003773,Small Business,Healthcare,Basic,49,1079.21,45,78,3,0.9967248107165265,Very High Risk
CUST_002601,Startup,Technology,Business,399,4634.94,38,10,2,0.996713886421467,Very High Risk
CUST_000389,Small Business,Technology,Business,399,1631.16,35,44,3,0.9966375715407924,Very High Risk
CUST_003630,Mid-Market,Retail,Business,399,6529.52,45,81,3,0.9965303379416283,Very High Risk
CUST_002050,Small Business,Other,Enterprise,999,7257.06,65,75,3,0.9965303379416283,Very High Risk
CUST_000182,Startup,Retail,Enterprise,999,6053.62,49,40,3,0.9965303379416283,Very High Risk
CUST_004386,Small Business,Other,Business,399,5310.8099999999995,66,45,3,0.9963971660287954,Very High Risk
CUST_003053,Mid-Market,Technology,Business,399,2450.04,66,83,1,0.9963971660287954,Very High Risk
CUST_001069,Mid-Market,Real Estate,Professional,149,2547.4,65,50,3,0.9963971660287954,Very High Risk
CUST_000416,Mid-Market,Technology,Basic,49,636.09,65,-27,2,0.996387426148526,Very High Risk
CUST_003034,Mid-Market,Manufacturing,Basic,49,655.08,62,-38,2,0.9963649891774893,Very High Risk
CUST_000337,Startup,Manufacturing,Professional,149,1096.01,44,63,0,0.9963636363636365,Very High Risk
CUST_001026,Small Business,Healthcare,Basic,49,382.9,65,-12,3,0.9963525250069751,Very High Risk
CUST_003161,Startup,Technology,Professional,149,1216.06,47,72,1,0.9963050263404777,Very High Risk
CUST_000893,Small Business,Real Estate,Basic,49,245.56,49,71,0,0.9962850122850123,Very High Risk
CUST_000330,Mid-Market,Retail,Professional,149,2738.21,55,40,1,0.9962508348360382,Very High Risk
CUST_002471,Mid-Market,Other,Business,399,3223.08,51,42,4,0.9962362202945694,Very High Risk
CUST_003207,Mid-Market,Technology,Enterprise,999,6997.26,55,29,4,0.9962362202945694,Very High Risk
CUST_002539,Startup,Manufacturing,Professional,149,2442.94,55,-17,1,0.9962087082538659,Very High Risk
CUST_000750,Small Business,Education,Professional,149,1067.89,41,32,3,0.9961157024793388,Very High Risk
CUST_000176,Mid-Market,Technology,Professional,149,895.14,33,70,5,0.9960672217694794,Very High Risk
CUST_001532,Small Business,Retail,Basic,49,686.16,57,-41,2,0.995969696969697,Very High Risk
CUST_000321,Small Business,Technology,Basic,49,509.08,38,51,2,0.9959383732865145,Very High Risk
CUST_002529,Small Business,Finance,Basic,49,690.22,51,52,1,0.9959334186939821,Very High Risk
CUST_003603,Startup,Retail,Basic,49,283.75,38,100,2,0.9958380709832401,Very High Risk
CUST_004551,Small Business,Finance,Business,399,4789.33,39,15,2,0.9958330772841103,Very High Risk
CUST_002802,Startup,Healthcare,Professional,149,867.6,65,-46,1,0.9958285242951078,Very High Risk
CUST_004145,Small Business,Healthcare,Basic,49,540.31,62,76,2,0.9958181818181818,Very High Risk
CUST_000843,Small Business,Real Estate,Basic,49,640.68,62,-8,4,0.9957643541902896,Very High Risk
CUST_001087,Mid-Market,Technology,Professional,149,2423.8,64,60,3,0.9957446236559139,Very High Risk
CUST_001315,Mid-Market,Other,Professional,149,1906.82,50,60,2,0.9957446236559139,Very High Risk
CUST_002288,Mid-Market,Finance,Professional,149,2597.79,63,100,3,0.9957446236559139,Very High Risk
CUST_002909,Mid-Market,Other,Professional,149,1367.16,53,25,2,0.9957446236559139,Very High Risk
CUST_002253,Mid-Market,Real Estate,Business,399,3739.7,52,11,3,0.9957446236559139,Very High Risk
CUST_001129,Small Business,Healthcare,Basic,49,901.82,79,-46,1,0.9957095858528104,Very High Risk
CUST_000482,Small Business,Education,Basic,49,870.38,50,42,1,0.9957051823156279,Very High Risk
CUST_001660,Mid-Market,Healthcare,Professional,149,2722.84,54,-5,1,0.9956284374608292,Very High Risk
CUST_002756,Mid-Market,Healthcare,Professional,149,978.0,72,34,2,0.9956196696509703,Very High Risk
CUST_001086,Mid-Market,Healthcare,Business,399,3183.31,58,53,1,0.9956017665130567,Very High Risk
CUST_002522,Small Business,Real Estate,Basic,49,463.62,55,30,3,0.9955932475091249,Very High Risk
CUST_004862,Startup,Manufacturing,Business,399,1628.74,51,53,1,0.9955932475091249,Very High Risk
CUST_002843,Startup,Finance,Basic,49,256.08,62,100,1,0.9955932475091249,Very High Risk
CUST_000504,Small Business,Technology,Business,399,1551.97,51,60,1,0.9955932475091249,Very High Risk
CUST_000952,Mid-Market,Technology,Basic,49,505.92,56,-25,3,0.9955875431870487,Very High Risk
CUST_003250,Startup,Technology,Basic,49,631.24,57,53,3,0.9955388996830379,Very High Risk
CUST_002687,Small Business,Technology,Enterprise,999,16846.23,47,43,1,0.9955365491217525,Very High Risk
CUST_001773,Enterprise,Finance,Business,399,5322.7300000000005,47,25,2,0.9955035522273425,Very High Risk
CUST_000453,Small Business,Retail,Basic,49,505.23,52,-8,1,0.9954545454545454,Very High Risk
CUST_001849,Startup,Healthcare,Business,399,4631.29,61,60,3,0.9954503903662677,Very High Risk
CUST_000495,Small Business,Education,Business,399,2368.42,54,45,2,0.9954503903662677,Very High Risk
CUST_003254,Small Business,Healthcare,Basic,49,939.75,58,40,2,0.9954244810307803,Very High Risk
CUST_003088,Startup,Finance,Basic,49,988.15,21,45,3,0.9953894291622332,Very High Risk
CUST_001556,Small Business,Finance,Basic,49,391.54,23,43,2,0.9953240731902323,Very High Risk
CUST_002200,Mid-Market,Technology,Basic,49,640.49,63,0,4,0.9953159279655373,Very High Risk
CUST_003650,Small Business,Healthcare,Business,399,3930.47,58,46,0,0.9952835846948749,Very High Risk
CUST_003894,Mid-Market,Technology,Professional,149,2688.62,40,13,2,0.9952711050029227,Very High Risk
CUST_004452,Enterprise,Technology,Basic,49,599.39,72,18,2,0.9952425482602828,Very High Risk
CUST_003906,Small Business,Technology,Basic,49,936.26,49,14,2,0.9952292881342707,Very High Risk
CUST_001274,Mid-Market,Education,Business,399,3357.89,81,56,3,0.9951433698903291,Very High Risk
CUST_001914,Mid-Market,Retail,Basic,49,236.02,53,22,4,0.9951123364816421,Very High Risk
CUST_004427,Startup,Other,Professional,149,1209.09,44,-5,3,0.9950740358126722,Very High Risk
CUST_003341,Small Business,Retail,Business,399,7136.8099999999995,14,44,3,0.9950642314253306,Very High Risk
CUST_001448,Startup,Finance,Business,399,2418.26,43,-20,3,0.995013429752066,Very High Risk
CUST_001284,Startup,Education,Enterprise,999,10096.38,51,-32,0,0.994910830407075,Very High Risk
CUST_002463,Enterprise,Technology,Basic,49,893.9399999999999,46,66,3,0.9949007885958138,Very High Risk
CUST_003486,Enterprise,Healthcare,Basic,49,357.43,74,-11,2,0.9947528739728538,Very High Risk
CUST_002591,Small Business,Healthcare,Basic,49,640.67,44,84,1,0.9947378018108652,Very High Risk
CUST_000013,Startup,Technology,Enterprise,999,5075.71,63,-20,1,0.9946436533944852,Very High Risk
CUST_002765,Startup,Healthcare,Professional,149,2745.44,46,-8,3,0.994640962298602,Very High Risk
CUST_001979,Small Business,Technology,Professional,149,1198.67,26,-8,4,0.9946373654280989,Very High Risk
CUST_001243,Mid-Market,Other,Business,399,3950.85,61,-27,2,0.994600224346469,Very High Risk
CUST_000208,Mid-Market,Healthcare,Basic,49,905.93,45,-28,2,0.9945885109170568,Very High Risk
CUST_002307,Enterprise,Other,Professional,149,1966.89,50,-17,2,0.9945697179401236,Very High Risk
CUST_001851,Startup,Technology,Business,399,6037.97,47,49,5,0.994559201661029,Very High Risk
CUST_001385,Small Business,Finance,Professional,149,1679.58,45,0,6,0.994559201661029,Very High Risk
CUST_003951,Small Business,Finance,Professional,149,1059.19,48,75,5,0.994559201661029,Very High Risk
CUST_002260,Small Business,Healthcare,Basic,49,948.76,66,77,2,0.9945013795821838,Very High Risk
CUST_004754,Mid-Market,Real Estate,Professional,149,2539.19,69,27,4,0.9944894138220525,Very High Risk
CUST_003391,Startup,Technology,Basic,49,306.32,77,-57,2,0.9944707881292781,Very High Risk
CUST_004959,Mid-Market,Education,Basic,49,529.01,53,-9,3,0.9944519086741553,Very High Risk
CUST_004963,Small Business,Manufacturing,Business,399,5636.34,47,-24,3,0.9944286700942694,Very High Risk
CUST_002840,Mid-Market,Finance,Business,399,6002.5599999999995,47,5,5,0.9944163445181718,Very High Risk
CUST_004069,Small Business,Finance,Professional,149,2302.24,44,33,1,0.9944082332761578,Very High Risk
CUST_003464,Small Business,Technology,Basic,49,197.91,52,-8,1,0.9943767502539282,Very High Risk
CUST_000339,Startup,Real Estate,Basic,49,439.96,11,11,2,0.9943596718503906,Very High Risk
CUST_003699,Enterprise,Healthcare,Basic,49,442.41,44,27,2,0.9943589743589744,Very High Risk
CUST_002862,Startup,Finance,Basic,49,1000.98,41,40,1,0.9943260465344461,Very High Risk
CUST_000656,Enterprise,Technology,Business,399,7220.35,55,13,4,0.9942552619537862,Very High Risk
CUST_001244,Small Business,Manufacturing,Basic,49,434.23,25,-10,2,0.9942151541027515,Very High Risk
CUST_000771,Mid-Market,Education,Professional,149,3169.86,53,38,3,0.9941877423898604,Very High Risk
CUST_003382,Mid-Market,Retail,Basic,49,899.89,20,55,2,0.9941574199510077,Very High Risk
CUST_002726,Mid-Market,Education,Business,399,7029.17,59,30,3,0.994112404810929,Very High Risk
CUST_004864,Mid-Market,Real Estate,Business,399,7208.12,56,39,3,0.994112404810929,Very High Risk
CUST_002018,Small Business,Manufacturing,Business,399,6088.56,45,-57,4,0.9940917122593053,Very High Risk
CUST_000099,Mid-Market,Finance,Basic,49,1081.32,62,45,2,0.9940844598393336,Very High Risk
CUST_003424,Small Business,Finance,Basic,49,643.17,54,30,2,0.9940771103896104,Very High Risk
CUST_004237,Startup,Retail,Business,399,8009.53,52,-13,1,0.9939676160127737,Very High Risk
CUST_000939,Mid-Market,Education,Professional,149,2496.64,73,13,3,0.9939673212082195,Very High Risk
CUST_002980,Enterprise,Manufacturing,Basic,49,426.4,51,19,3,0.9939064541287008,Very High Risk
CUST_000759,Small Business,Technology,Professional,149,1940.27,53,47,3,0.9938521760805535,Very High Risk
CUST_003899,Mid-Market,Retail,Basic,49,553.56,58,62,3,0.9938488372093023,Very High Risk
CUST_001972,Small Business,Retail,Professional,149,3000.56,42,46,2,0.9938481303889583,Very High Risk
CUST_002990,Mid-Market,Retail,Business,399,5282.93,55,-6,3,0.9938288498875946,Very High Risk
CUST_004157,Enterprise,Manufacturing,Business,399,8547.21,50,28,1,0.9938149374001408,Very High Risk
CUST_004156,Mid-Market,Technology,Basic,49,535.88,44,-90,2,0.9937824820107428,Very High Risk
CUST_002559,Mid-Market,Technology,Basic,49,302.34000000000003,58,29,1,0.9937280213199187,Very High Risk
CUST_004820,Startup,Technology,Business,399,5531.4,59,55,0,0.9936082600195504,Very High Risk
CUST_001814,Small Business,Technology,Enterprise,999,8875.44,63,8,2,0.9936082600195502,Very High Risk
CUST_004988,Small Business,Finance,Professional,149,1736.37,56,94,2,0.9936082600195502,Very High Risk
CUST_000765,Small Business,Healthcare,Business,399,6127.89,59,67,3,0.9936082600195502,Very High Risk
CUST_001115,Small Business,Healthcare,Business,399,5747.6,63,16,2,0.9936082600195502,Very High Risk
CUST_002745,Startup,Retail,Enterprise,999,11382.55,57,6,2,0.9936082600195502,Very High Risk
CUST_004478,Small Business,Retail,Basic,49,257.61,29,66,2,0.9935906784119847,Very High Risk
CUST_004188,Small Business,Manufacturing,Basic,49,832.12,55,8,1,0.9935779927927453,Very High Risk
CUST_001971,Small Business,Technology,Basic,49,911.66,53,65,3,0.9935539121934633,Very High Risk
CUST_001120,Small Business,Technology,Basic,49,930.44,64,35,2,0.9935539121934633,Very High Risk
CUST_004884,Startup,Healthcare,Professional,149,3200.54,45,23,2,0.9935286514807696,Very High Risk
CUST_004329,Small Business,Education,Basic,49,828.12,37,100,3,0.9934734055546318,Very High Risk
CUST_003367,Small Business,Technology,Business,399,2498.86,54,8,3,0.9933603261352527,Very High Risk
CUST_001367,Small Business,Technology,Business,399,2066.03,57,14,2,0.9933603261352527,Very High Risk
CUST_001961,Startup,Finance,Business,399,2010.56,47,80,2,0.9933603261352527,Very High Risk
CUST_002442,Small Business,Technology,Basic,49,191.75,33,54,1,0.9932884850619149,Very High Risk
CUST_003965,Small Business,Healthcare,Basic,49,589.3,38,-6,1,0.9932808083695011,Very High Risk
CUST_002331,Mid-Market,Technology,Basic,49,823.81,47,9,1,0.9932727500566311,Very High Risk
